ArticleId,Text,Category,Text_Length,Word_Count
1683,blair reject iraq advice call tony blair rejected call publication advice legality iraq war amid growing call investigation prime minister told monthly press conference matter dealt attorney general earlier conservative mp michael mate joined call probe claim lord goldsmith statement parliament drawn number mr blair said statement fair summary lord goldsmith opinion lord goldsmith said say dealt time time time mr blair told monthly news conference downing street refused answer question issue saying dealt literally score time position changed lord goldsmith denied leaned say word written government refuse publish advice legality war saying paper always kept confidential mr mate member common intelligence security committee part butler inquiry pre war intelligence told bbc friday general rule right absolute rule said occasion advice published recently regarding prince charles marriage plan government could pick choose use convention said mr mate added discovered two three occasion past law officer advice government published may one special occasion would public interest see advice attorney general gave prime minister argument rejected mr blair said firstly broken precedent secondly peter goldsmith made statement got absolutely nothing add book published week philippe sand qc member cherie blair matrix chamber say lord goldsmith warned tony blair march iraq war could illegal without second un resolution sanctioning military action short statement lord goldsmith position presented written parliamentary answer march crucial common vote military action mr sand book suggests actually written home office minister lord falconer downing street adviser baroness morgan former minister clare short resigned government iraq war said statement earlier shown cabinet discussed military action told bbc full advice attached according ministerial code view need house lord set special committee summon attorney get paper look exactly happened said conservative liberal democrat say want publication full legal advice given attorney general thursday lord goldsmith said statement written number parliamentary answer march explained genuinely held independent view military action lawful existing security council resolution said,politics,3366,313
1153,housewife lift channel rating debut u television hit desperate housewife helped lift channel january audience share compared last year success celebrity big brother simpson enabled broadcaster surpass bbc first month since last july however channel share audience fell last month comparison january celebrity big brother attracted le viewer series comedy drama desperate housewife managed pull five million viewer one point run date attracting quarter television audience two main television channel bbc itv seen monthly audience share decline year year comparison january five proportion remained slender digital multi channel tv continuing strongest area growth bbc reporting freeview box ownership five million including one million sale last portion share audience soared january compared last year currently stand average,entertainment,1177,116
1028,uk coal plunge deeper loss share uk coal fallen mining group reported loss deepened uk biggest coal producer blamed geological problem industrial action operating flaw deep mine worsening fortune south yorkshire company led new chief executive gerry spindler said hoped return profit early trade thursday share penny uk coal said making significant progress shaking business introduced new wage structure new daily maintenance regime machinery mine method continue mining adverse condition company said action significantly uplift earnings expected transitional year return profitability recent rise coal price failed benefit company output already sold said total production cost per gigajoule uk coal said average selling price per gigajoule long journey ahead fix issue continue make progress great stride already made said mr spindler uk coal operates deep surface mine across nottinghamshire derbyshire leicestershire yorkshire west midland northumberland durham,business,1393,135
812,bp surge ahead high oil price oil giant bp announced rise annual profit bn bn back record oil price last week rival shell reported annual profit bn record profit uk listed company bp added increasing fourth quarter dividend cent would continue share buyback bp chief executive lord browne said result strong operationally financially company earning hour despite record annual profit figure bp performance expectation city analyst however bp share price rose p nearly morning trading p profit rise year included profit bn bn final three month bn year ago third quarter speaking bbc today programme tuesday lord browne said profit solely high oil price alone profit price oil said lord browne pointed bp reaping benefit investment oil exploration spent many year buying asset price low said company made new discovery egypt gulf mexico angola however lord browne rejected call windfall tax company huge profit saying north sea paid progressively tax profit made lord browne belief oil price remain quite high currently barrel said price oil well supported barrel medium term bp put production year billion barrel oil slightly lower four billion barrel initially aimed,business,1815,184
707,ireland argentina injury time dropped goal ronan gara stole victory ireland underneath nose argentina lansdowne road saturday gara kicked ireland point two dropped goal five penalty give home side record autumn international impressive argentina appeared control dying second puma shocked irish early try federico aramburu felipe contepomi kicked point well drilled sharper puma played thought ireland early stage indiscipline allowed argentina leinster fly half contepomi open scoring third minute straightforward penalty mark two minute later argentina shocked ragged ireland first try game ireland turned ball manuel contepomi broke unstructured defence feeding midfield partner aramburu sprint post gara finally got ireland board dropped goal ninth minute contepomi rifle second penalty two minute later playing strong wind rain ireland continued come second best tight situation turnover began mount rugged defence gara managed land second penalty th minute contepomi replied kind four minute first half injury time second half started first ended gara rifled another penalty th minute contepomi matched three minute later upper body strength puma never allowed ireland take control front three quarter space manoeuvre ireland rely gara boot keep touch rather contrived running play munsterman landed two penalty one metre bring team within four point minute clock remaining ireland chance came argentina number eight gonzalo longo yellow carded six minute go offence line gara made mistake rifled fifth penalty set tense final minute ireland showed great composure get position allow gara thump massive drop goal complete tremendous fortuitous comeback,sport,2388,239
1588,wenger sign new deal arsenal manager arsene wenger signed new contract stay club may wenger ended speculation future agreeing long term contract take beyond opening arsenal new stadium two year said signing new contract rubber stamp desire take club forward fulfil ambition still much achieve target drive club exciting time arsenal year old frenchman told arsenal website www arsenal com intention always clear love club happy wenger title fa cup three time reign chairman peter hill wood said absolutely delighted arsene signed extension contract since arrival revolutionised club pitch well six major honour time arsene leading influence behind major initiative club including construction new training centre also new stadium club continued reap benefit arsene natural eye unearthing footballing talent currently fantastic crop young player coming rank together number world class player playing wonderful brand football meanwhile arsenal director danny fiszman looking wenger stay beyond come towards end contract review situation sure want stay hope said fiszman,sport,1656,156
342,u desire number one u three prestigious grammy award hit vertigo stubbornly clinging status one biggest band world popular group history rock several thing common music must inspired appeal across generation distinctive always groundbreaking success music compelling performer charismatic intelligent enough make good decision keep foot ground also want want biggest band ever stop wanting beatles rolling stone still rem hold onto queen catsuit u spade keep churning new album dismantle atomic bomb come year schoolfriend got together dublin year joshua tree cemented place time rock list may lost edginess raw youthful force propelled top lost none desire ability craft song album vertigo first single new album went straight uk single chart number one knocking eminem top spot giving th top hit challenge bigger bolder better make record whole world listen bono recently said drummer larry mullen jr echoed sentiment competitive want radio big single want thought veteran band band done everything considerable power ensure remain biggest band world according q magazine editor paul rees make hugely determined formidable added equally determined push make music continues stand constantly invented challenged perhaps alone rock band got better age key ingredient fact highly organised mr rees said everything right way group born mullen put appeal bandmates high school notice board attracting fellow pupil paul hewson bono vocal adam clayton bass david evans edge guitar brother dick dick evans soon dropped four piece known feedback hype settling u talent contest got noticed manager paul mcguinness brilliant coarse mcguinness recently said way exactly badly struggled attract record company attention later described pretty damn average strange eerie scout saw live released two ireland single topped national chart leading deal island debut album boy stadium filling anthemic sound u aim start third album war saw make breakthrough side atlantic going number one uk u song like sunday bloody sunday new year day brought success image political spiritual band bono rejected cliche stage performance included flag waving speaker climbing drum throwing earned reputation electric performer appearance live aid widely seen sealing global stardom joshua tree broke sale record saw band reach height power hit including street name still found looking without song took band epic atmospheric sound simple powerful popular pinnacle end decade marked crucial point band reached top still yearned new challenge achievement came form exploration different branch rock foray electronic dance music plus wildly extravagant stage show still trying retain mass appeal achtung baby album followed zooropa pop corresponding stadium tour featured giant olive flying car live phone call white house bono transformation alter ego fly macphisto also building parallel reputation always pleasure bandmates campaigner issue global debt aid release dismantle atomic bomb sold million album around world still want,entertainment,4808,445
486,hantuchova dubai last eight daniela hantuchova moved quarter final dubai open beating elene likhotseva russia face serena williams australian open champion williams survived early scare beat russia elena bovina world number one lindsay davenport anastasia myskina also progressed davenport defeated china jie zheng french open champion myskina sailed opponent marion bartoli retired hurt american davenport face fellow former wimbledon champion conchita martinez spain ousted seventh seeded nathalie dechy france myskina face eighth seed patty schnyder switzerland defeated china li na quarter final pit wild card sania mirza india jelena jankovic serbia montenegro tuesday meeting martinez davenport belief room improvement game started well finished well played game middle said williams also far content know said really windy played wind shot going hantuchova upbeat mood ahead clash younger williams sister handed first round bye feel advantage serena already played two match court said difficult court play fast sometimes feel control ball,sport,1600,149
1344,melzer shock agassi san jose second seed andre agassi suffered comprehensive defeat jurgen melzer quarter final sap open agassi often bamboozled austrian drop shot san jose losing defending champion top seed andy roddick rallied beat sweden thomas enqvist unseeded cyril saulnier beat fourth seed vincent spadea tommy haas overcame eighth seed max mirnyi melzer beaten agassi two three meeting good game plan executed perfectly said always tough come play andre want play game make run like dog court agassi matched power opponent two handed backhand said melzer example several player tour willing take chance lot guy capable said american played much better time opportunity loosen agassi added convert big point,sport,1146,110
1552,moving mobile improves golf swing mobile phone recognises responds movement launched japan motion sensitive phone officially titled v sh developed sharp launched vodafone japanese division devised mainly mobile gaming user also access phone function using pre set pattern arm movement phone allow golf fan improve swing via golfing game prefer shoot em ups able use phone like gun shoot zombie mobile version sega house dead phone come tiny motion control sensor computer chip responds movement feature include display screen allows user watch tv rotate degree also double electronic musical instrument user select sound menu includes clapping tambourine maraca shake phone create beat recommended karaoke market phone initially available japan due go sale mid february new gadget could make interesting people watching among japanese commuter able access mobile subway fishing afficiandos south korea already using phone allows simulate movement rod ph phone dubbed sport leisure gadget developed korean phone giant pantech also used runner measure calorie consumption distance run,tech,1532,158
1547,hewitt overcomes wobble sydney lleyton hewitt gave perfect preparation next week australian open victory ivo minar final sydney international defending champion brushed aside czech qualifier australian world number three strolled first five game match shocked minar next five top seed rattled recovered close set raced victory exactly hour strange match momentum swing said hewitt felt like came block extremely well loosened bit got back try settle take notch able hewitt lifted sydney title four time last six year keep getting better better every year hewitt said played tournament four time four time hewitt went final short priced favourite clinch th career title dropping one set week set meet frenchman arnaud clement first round australian open minar ranked th world forced pull australian open qualifying draw play first atp final big success said year old nervous last night sleep never played top player wanted play qualifying melbourne saturday still main draw need point money alicia molik take samantha stosur australian woman final later saturday,sport,1665,163
177,carry star patsy rowlands dy actress patsy rowlands known million role carry film died age rowlands starred nine popular carry film alongside fellow regular sid james kenneth williams barbara windsor also carved successful television career appearing many year itv well loved comedy bless house rowlands died hove saturday morning agent said born january rowlands scholarship guildhall school speech drama scholarship spending several year player theatre london made film debut tom jones directed tony richardson made first carry film appeared carry doctor rowlands played hard done wife put upon employee regular carry star also appeared carry convenience carry matron carry loving well others recent year appeared bbc mini series cazalets played mr potts london stage version beauty beast agent simon beresford said absolutely favourite client never complained anything particularly ill old trouper old school skill musical theatre high drama worked great good director mind always recognised carry film thoroughly enjoyed making really lovely person much missed last appearance stage mr pearce award winning production fair lady national theatre previously married leaf one son alan funeral private family occasion memorial service later date,entertainment,1874,181
1785,serena becomes world number two serena williams moved five place second world ranking australian open win williams first grand slam title since victory lindsay davenport world number one men champion marat safin remains fourth atp ranking beaten finalist lleyton hewitt replaces andy roddick world number two roger federer retains top spot safin overtaken hewitt become new leader champion race alicia molik lost three set thriller davenport quarter final woman top first time career rise mean australia player top men woman ranking first time year britain elena baltacha qualified reached third round risen world leap place highest ranking yet,sport,921,98
1617,ferguson urge henry punishment sir alex ferguson called football association punish arsenal thierry henry incident involving gabriel heinze ferguson belief henry deliberately caught heinze head knee united controversial win united bos said worse ruud van nistelrooy foul ashley cole got three game ban shall present fa see tackle heinze terrible said club permitted ask fa examine specific incident information expected provided within hour game clash occurred moment half time freddie ljungberg challenge left heinze ground left touchline henry following ball attempted hurdle argentine knee collided back heinze head striker protested innocence referee mike riley deemed collision accidental ferguson also upset arsenal overall discipline heated encounter two arch rival praised side behaviour edu produced terrible tackle scholes potential leg breaker said foul game arsenal seven heinze five ronaldo six vieira sixth foul got booked phil neville got booked first challenge proud player way handled pressure always good gracious defeat happened sunday overshadowed achievement time,sport,1618,153
405,bt boost broadband package british telecom said double broadband speed home business customer increased speed come extra charge follows similar move internet service provider aol many bt customer download speed mbps although usage allowance one gigabyte gigabyte month new speed start come effect february home customer april business britain broadband britain said duncan ingram bt managing director broadband internet service added ninety percent customer see real increase speed speed increase give people opportunity lot broadband connection said upload speed speed information sent pc via broadband remain speed said mr ingram despite increase bt continue usage allowance home customer allowance extremely generous said mr ingram seeing market place really issue bt begin enforcing allowance summer customer exceed amount either able pay bigger allowance see download speed reduced bt share broadband market becoming increasingly competitive last month many rival isps begun offer mbps service including aol plusnet uk online britain continues lag behind country especially japan south korea offer broadband speed mbps mr ingram said important separate hype reality said limited number people connection consistently received speed mbps customer see connection double immediately february mr ingram said would roll across network order prevent problem,tech,2025,192
1561,china role yukos split china lent russia bn bn help russian government renationalise key yuganskneftegas unit oil group yukos revealed kremlin said tuesday bn russian state bank veb lent state owned rosneft help buy yugansk turn came chinese bank revelation came russian government said rosneft signed long term oil supply deal china deal see rosneft receive bn credit china cnpc according russian newspaper vedomosti credit would used pay loan rosneft received finance purchase yugansk report said cnpc offered yugansk return providing finance company opted long term oil supply deal instead analyst said one factor might influenced chinese decision possibility litigation yukos yugansk former owner cnpc become shareholder rosneft veb declined comment two company rosneft cnpc agreed pre payment long term delivery said russian oil official sergei oganesyan nothing unusual pre payment five six year announcement help explain rosneft medium sized indebted relatively unknown firm able finance surprise purchase yugansk yugansk sold bn auction last year help yukos pay part bn bill unpaid tax fine embattled russian oil giant previously filed bankruptcy protection u court attempt prevent forced sale main production arm yugansk sold little known shell company turn bought rosneft yukos claim downfall punishment political ambition founder mikhail khodorkovsky country richest man mr khodorkovsky trial fraud tax evasion deal rosneft cnpc seen part china desire secure long term oil supply feed booming economy china thirst product crude oil copper steel helped pushed global commodity price record level clearly chinese trying get leverage russia said dmitry lukashov analyst brokerage aton understand property right russia important right interested guaranteeing supply price oil fixed deal unlikely could profitable chinese mr lukashov continued rosneft desperate need cash good deal,business,2667,275
702,peer peer net stay peer peer p p network stay verge exploited commercial medium firm say panel industry expert several high profile legal case file sharer resolved year firm keen try make money p p technology expert panel probed future p p consumer electronics show la vega earlier january first conviction p p piracy handed u january william trowbridge michael chicoine pleaded guilty charge infringed copyright illegally sharing music movie software since first successful file sharing network napster forced close entertainment industry nervous critical p p technology blaming falling sale piracy going change soon according panel music film industry started big legal case owner legitimate p p network illegal individual accused distributing pirated content network slowly realised p p good way distribute content said travis kalanick founder chairman p p network red swoosh soon going want slice waiting come business model work includes digital right management copy protection standard legal action resolved experimentation p p cannot happen said michael wei president streamcast network remembering furore around vcr first came mr wei said old medium always try stop new medium stop try control figure make money always make lot money court decided vcr illegal technology film studio turned extremely lucrative business august san francisco based u court appeal ruled favour grokster streamcast two file sharing network court said essentially position sony vcr battle said network could deemed illegal p p network usually rely dedicated server transfer file instead us direct connection computer client many different type p p system work different way p p net used share kind file like photo free software licensed music digital content bbc already decided embrace technology aim offer programme download year use p p technology distribute file would locked seven day programme aired making right management easier control technology still demonised misunderstood many global entertainment industry say billion copyrighted music file downloaded every month half million film downloaded day legal music download service like apple itunes napster rushed music marketplace try lure file sharer away free content sale legally downloaded song grew tenfold million track bought online u europe month ifpi reported week download service different p p network least financial aspect several money spinning model could turn p p golden egg commercial entertainment company paid pas along firm receive money time file shared along various drm solution advertiser based option considered see going different model commoditising p p said marc morgenstern vice president anti piracy firm overpeer consumer hungry discover new model together agreed mr morgenstern many net user continue ignore entertainment industry potential controlling grip content p p technology continuing use creation unsigned band example use p p network distribute music effectively also draw attention record company looking new artist sign increasingly seeing p p consumer created content said derek broes microsoft probably pay increasing role helping p p spread said looking p p future file sharing beginning p p network far mr broes concerned issue resolved going see aggressive movement protect content also way unimaginable said file sharing tip iceberg,tech,4950,498
1026,henman face saulnier test british number one tim henman face france cyril saulnier first round next week australian open greg rusedski british number two quarter draw could face andy roddick second round beat swede jonas bjorkman local favourite lleyton hewitt meet france arnaud clement defending champion world number one roger federer face fabrice santoro woman top seed lindsay davenport drew spanish veteran conchita martinez henman came two set defeat saulnier first round french open last year know face tough test melbourne seventh seed never gone beyond quarter final year first major lined meet roddick last eight looking forward match tough player surface got lot ability said really tight one paris went way going need play well outset dangerous competitor switzerland federer seeded one hot favourite three four grand slam title beaten santoro five seven previous encounter taking nothing granted tricky match federer said played u open quite comfortably never know rhythm bit keep guessing make difficult important thing though get used playing five set match winning year old could meet four time champion andre agassi quarter final meeting russian marat safin player beat last year final eighth seeded american agassi set play qualifier round one shake hip injury ruled kooyong classic second seed andy roddick open campaign irakli labadze georgia american could meet rusedski second round seventh seed henman quarter final hewitt last four hewitt hoping become first australian man win event since mark edmondson year old never beyond round four eight attempt melbourne park least secured opposite half draw federer beat australian open wimbledon u open last year safin seeded four open campaign qualifier th seed tommy haas player beat semi final possible fourth round opponent woman draw davenport could encounter eighth seeded venus williams quarter final third ranked anastasia myskina french open champion semi final bronchitis ruled davenport australian open champion sydney quarter final thursday venus williams lost younger sister serena melbourne final two year ago open eleni daniilidou greece serena williams fourth consecutive grand slam australian open drawn bottom quarter second seed amelie mauresmo runner serena open another frenchwoman camille pin mauresmo play australia samantha stosur wimbledon champion maria sharapova seeded fourth drew qualifier first round could meet fellow russian svetlana kuznetsova u open winner last eight roger federer switzerland andy roddick u lleyton hewitt australia marat safin russia carlos moya spain guillermo corium argentina tim henman britain andre agassi u david nalbandian argentina gaston gaudio argentina joachim johansson sweden guillermo canas argentina tommy robredo spain sebastien grosjean france mikhail youzhny russia tommy haas germany andrei pavel romania nicolas massu chile vincent spadea u dominik hrbaty slovakia nicolas kiefer germany ivan ljubicic croatia fernando gonzalez chile feliciano lopez spain juan ignacio chela argentina nikolay davydenko russia paradorn srichaphan thailand mario ancic croatia taylor dent u thomas johansson sweden juan carlos ferrero spain jurgen melzer austria lindsay davenport u amelie mauresmo france anastasia myskina russia maria sharapova russia svetlana kuznetsova russia elena dementieva russia serena williams u venus williams u vera zvonareva russia alicia molik australia nadia petrova russia patty schnyder switzerland karolina sprem croatia francesca schiavone italy silvia farina elia italy ai sugiyama japan fabiola zuluaga colombia elena likhovtseva russia nathalie dechy france tatiana golovin france amy frazier u magdalena maleeva bulgaria jelena jankovic serbia montenegro mary pierce france lisa raymond u daniela hantuchova slovakia anna smashnova israel shinobu asagoe japan gisela dulko argentina flavia pennetta italy jelena kostanic croatia iveta benesova czech republic,sport,5272,567
1527,uk stand firm eu rebate britain bn eu rebate renegotiation next week european council summit jack straw said foreign secretary told mp rebate secured margaret thatcher entirely justified new european commission president jose manuel barroso suggested cash could shared among net contributor eu budget mr straw acknowledged country newly enlarged nation eu still see light rebate foreign secretary told common foreign affair committee position clear entirely justified negotiation added think would political price pay uk stance britain contributed received le eu state two day european council summit brussels begin december widely expected mark beginning lengthy negotiating period eu budget wrangling could stretch even uk france germany austria netherlands sweden want eu budget capped member state combined national income commission want mr straw said eu commission proposal would mean hike budget know national government thinking increasing budget amount added foreign secretary said hoped talk next week could produce date beginning negotiation turkey possible eu membership although would prospect date joining time,politics,1653,160
1503,iran budget seek state sell offs iran president mohammad khatami unveiled budget designed expand public spending loosen islamic republic dependence oil budget fiscal year starting march call sell state corporate holding mr khatami second term president end august making last budget opposition member parliament attacked previous privatisation could block plan election may ousted many mr khatami supporter parliament favour hard line religious conservative late last year backed law would give parliament veto foreign investment ruling response involvement telecom airport project turkish company hardliner accused business israel came long expediency council iran ultimate decision maker blessed mr khatami policy selling stake sector protected constitution energy transport telecom banking continued obstruction foreign investment could get way privatisation plan also mr khatami hope modestly reducing government reliance oil revenue address majlis mr khatami predicted economic growth current year said wanted increase budget trillion rial bn bn previous year trillion within figure taxation would rise bn rise expected current year contrast oil revenue expected fall bn bn year march current government expenditure come tax revenue mr khatami said oil revenue used productive investment mr khatami already blocked parliament reducing subsidy many product including bread petrol reducing room manoeuvre,business,2042,194
